Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
prueba_mision_1_start,,,,,"Mission Start","Comenzando la Misión",,
prueba_mision_1_desc,,,,,"Special mission to complete the game","Una misión especial para completar el juego".,,
quest_prueba_1,,,,,"","parrafo 1",,
quest_prueba_1_offer,,,,,"Collect the legendary objects that you will find around the world, mainly in boxes. \n\nCheck description for more info","Reune los objetos legendarios que encontraras por el mundo, principalmente en cajas. \n\nMas info en la descripción",,
quest_prueba_1,,,,,"Special Mission","Misión Especial",,
quest_prueba_1_subtitle,,,,,"The Artifacts","Los Artefactos",,
quest_prueba_1_description,,,,,"Collect the legendary objects that you will find around the world, mainly in boxes. \n\nKryptonite:  Electronics \nDon Quixote:  Books \nFlux Capacitor:  Gas Station \nLonginus Spear:  Weapons \nSonic Screwdiver:  Hardware"","Reune los objetos legendarios que encontraras por el mundo, principalmente en cajas. \n\nKryptonita:  Electrónica \nDon Quijote:  Libros \nCondensador de Flujo:  Gasolinera \nLanza de Longinus:  Armas \nDestornillador Sónico:  Ferretería"
prueba_mision_1,,,,,"Final Mission","Misión final",,
resourceBluePaper,,,,,"Blue Paper","Papel Azul",,
resourceBluePaperDesc,,,,,"A master paper with which you can use to create special book we can update your progression.","Un papel maestro con el que se puede crear libros especial mediante los cuales aumentas tu progresión.",,
itemToolKryptonite,,,,,"Kryptonite","Kryptonita",,
itemToolKryptoniteDesc,,,,,"The mythical Kryptonite with which to knock down Superman himself. \n\nFind in Electronics resources","La mitica Kryptonita con la que tumbar al mismísimo Superman. \n\nEncuentralo en recursos de Electrónica",,
itemToolDonQuixote,,,,,"Don Quixote","Don Quijote",,
itemToolDonQuixoteDesc,,,,,"A classic of literature. \n\nFind in Books resources","Todo un clásico de la literatura. \n\nEncuentralo en recursos de Libros",,
itemToolFluxCapacitor,,,,,"Flux Capacitor","Condensador de Flujo",,
itemToolFluxCapacitorDesc,,,,,"The key to the time machine. \n\nFind in Gas resources","La clave para la máquina del tiempo. \n\nEncuentralo en recursos de Gasolinera",,
itemToolLonginusSpear,,,,,"Longinus Spear","Lanza de Longinus",,
itemToolLonginusSpearDesc,,,,,"A spear that has mystical connotations. \n\nFind in Weapons resources","Una lanza que posee connotaciones místicas. \n\nEncuentralo en recursos de Armas",,
itemToolSonicScrewdiver,,,,,"Sonic Screwdiver","Destornillador Sónico",,
itemToolSonicScrewdiverDesc,,,,,"A multipurpose screwdriver with which to fix almost everything. \n\nFind in Hardware resources","Un destornillador multiuso con el que arreglar casi todo. \n\nEncuentralo en recursos de Ferretería",,
resourceTurd,,,,,"Only Turd","Mierda Literalmente",,
resourceTurdDesc,,,,,"A very disgusting Turd.","Un Mojón bien asqueroso.",,
workingMakina,,,,,"Progression Machine","Máquina de Progresión",,
workingMakinaDesc,,,,,"Make your progression in this machine thanks to the blue papers.","Fabrica libros especiales para aumentar tu progresión gracias a los papeles azules.",,
workingLibrosSchematic,,,,,"Books Machine Schematic",Esquema de Máquina de Libros,,
workingLibros,,,,,"Books Machine",Máquina de Libros,,
workingLibrosDesc,,,,,"Is a book missing from your collection? Try to make it here with the blue papers.","¿Falta algun libro en tu colección?, prueba a fabricarlo aquí con los papeles azules.",,
workingDysmantleSchematic,,,,,"Ensamble/Dismantle Machine Schematic"," Esquema de Máquina Montadora/Desmontadora",,
workingDysmantle,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleDesc,,,,,"Dismantle ammo and craft special items.","Desmonta munición y crea objetos especiales.",,
workingSemillasSchematic,,,,,"Seed Machine Schematic"," Esquema de Máquina de Semillas",,
workingSemillas,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasDesc,,,,,"Obtain 1 seed for each available fruit..","Obtén 1 semilla por cada fruto disponible.",,
workingOvenSchematic,,,,,"Advanced Oven Schematic","Esquema de Horno Avanzado",,
workingOven,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenDesc,,,,,"Oven for cooking special recipes","Horno para cocinar recetas especiales.",,
workingAutominerT0Schematic,,,,,"Basic Autominer Schematic","Esquema de Autominado Básico",,
workingAutominerT0,,,,,"Basic Autominer","Autominado Básico",,
workingAutominerT0Desc,,,,,"Automatic Machine to get Resources.","Máquina automática para obtener recursos.",,
workingAutominerADVSchematic,,,,,"Advanced Autominer Schematic","Esquema de Autominado Avanzado",,
workingAutominerADV,,,,,"Advanced Autominer","Autominado Avanzado",,
